Parameters:	Population: 100	Number of Generations: 1000	Mutation Rate 4%
Generation,Fitness
1,1.15549e-05
2,1.03462e-05
3,1.01777e-05
4,1.14799e-05
5,1.02752e-05
6,1.19268e-05
7,1.08154e-05
8,1.10203e-05
9,1.04767e-05
10,1.04767e-05
11,1.04426e-05
12,1.04426e-05
13,1.00846e-05
14,1.0067e-05
15,1.013e-05
16,1.0067e-05
17,1.09365e-05
18,1.18647e-05
19,1.18647e-05
20,1.16591e-05
21,1.08135e-05
22,1.06194e-05
23,1.07104e-05
24,1.07104e-05
25,1.00657e-05
26,1.01434e-05
27,1.08732e-05
28,1.01434e-05
29,1.01434e-05
30,1.03478e-05
31,1.0313e-05
32,1.05577e-05
33,1.04451e-05
34,1.04451e-05
35,1.05381e-05
36,1.07866e-05
37,1.07866e-05
38,1.20239e-05
39,1.20239e-05
40,1.06715e-05
41,1.06715e-05
42,1.06721e-05
43,1.01463e-05
44,1.02861e-05
45,1.02861e-05
46,1.0765e-05
47,1.0765e-05
48,1.05975e-05
49,1.08096e-05
50,1.08096e-05
51,1.05975e-05
52,1.04891e-05
53,1.07042e-05
54,1.10086e-05
55,1.03273e-05
56,1.00586e-05
57,1.13915e-05
58,1.04328e-05
59,1.10391e-05
60,1.08717e-05
61,1.04328e-05
62,1.18723e-05
63,1.05725e-05
64,1.24279e-05
65,1.24279e-05
66,1.18664e-05
67,1.18664e-05
68,1.18664e-05
69,1.15157e-05
70,1.15157e-05
71,1.15157e-05
72,1.15157e-05
73,1.15157e-05
74,1.07631e-05
75,1.08302e-05
76,1.09276e-05
77,1.10397e-05
78,1.09276e-05
79,1.09276e-05
80,1.10503e-05
81,1.05205e-05
82,1.12177e-05
83,1.12177e-05
84,1.12177e-05
85,1.18955e-05
86,1.13146e-05
87,9.87333e-06
88,9.87333e-06
89,9.98213e-06
90,9.88931e-06
91,1.03378e-05
92,1.03378e-05
93,1.04692e-05
94,1.0109e-05
95,1.0255e-05
96,1.07688e-05
97,1.01205e-05
98,1.02474e-05
99,1.0626e-05
100,1.02474e-05
101,1.05745e-05
102,1.02851e-05
103,1.02851e-05
104,1.08884e-05
105,9.71127e-06
106,9.7057e-06
107,1.01988e-05
108,9.89604e-06
109,9.89604e-06
110,1.027e-05
111,1.08381e-05
112,1.11798e-05
113,1.17234e-05
114,1.17234e-05
115,1.13942e-05
116,1.04791e-05
117,1.13794e-05
118,1.04212e-05
119,1.03188e-05
120,1.14712e-05
121,1.14712e-05
122,1.14712e-05
123,1.14712e-05
124,1.21371e-05
125,1.21371e-05
126,1.21371e-05
127,1.15024e-05
128,1.15024e-05
129,1.15024e-05
130,1.05639e-05
131,1.05639e-05
132,1.05639e-05
133,1.05639e-05
134,1.08471e-05
135,1.05464e-05
136,1.05464e-05
137,1.02738e-05
