Parameters:	Population: 100	Number of Generations: 50000	Mutation Rate 4%
Generation,Fitness
1,1.25063e-05
2,1.1737e-05
3,1.12438e-05
4,1.16346e-05
5,1.15577e-05
6,1.15947e-05
7,1.12438e-05
8,1.07927e-05
9,1.08247e-05
10,1.08247e-05
11,1.16853e-05
12,1.14443e-05
13,1.14443e-05
14,1.05587e-05
15,1.05587e-05
16,1.06793e-05
17,1.06793e-05
18,1.08867e-05
19,1.08867e-05
20,1.103e-05
21,1.15052e-05
22,1.23406e-05
23,1.0899e-05
24,1.13883e-05
25,1.15015e-05
26,1.15015e-05
27,1.12442e-05
28,1.13266e-05
29,1.13266e-05
30,1.13266e-05
31,1.1373e-05
32,1.18438e-05
33,1.14697e-05
34,1.17361e-05
35,1.17361e-05
36,1.2303e-05
37,1.17818e-05
38,1.08346e-05
39,1.08346e-05
40,1.08346e-05
41,1.23186e-05
42,1.0888e-05
43,1.10249e-05
44,1.10249e-05
45,1.06472e-05
46,1.06472e-05
47,1.0735e-05
48,1.06472e-05
49,1.1162e-05
50,1.1162e-05
51,1.1162e-05
52,1.1162e-05
53,1.10105e-05
54,1.10278e-05
55,1.10278e-05
56,1.13023e-05
57,1.06246e-05
58,1.17685e-05
59,1.08617e-05
60,1.08617e-05
61,1.08617e-05
62,1.05471e-05
63,1.16547e-05
64,1.16547e-05
65,1.04409e-05
66,1.10365e-05
67,1.10365e-05
68,1.10365e-05
69,1.08099e-05
70,1.13718e-05
71,1.08099e-05
72,1.17953e-05
73,1.17953e-05
74,1.17953e-05
75,1.11862e-05
76,1.16353e-05
77,1.16353e-05
78,1.09096e-05
79,1.08955e-05
80,1.08955e-05
81,1.08955e-05
82,1.02796e-05
83,1.02074e-05
84,1.02093e-05
85,1.12571e-05
86,1.19801e-05
87,1.12571e-05
88,1.12571e-05
89,1.29367e-05
90,1.41807e-05
91,1.49972e-05
92,1.49972e-05
93,1.49972e-05
94,1.49972e-05
95,1.32894e-05
96,1.30274e-05
97,1.24933e-05
98,1.17795e-05
99,1.167e-05
100,1.11108e-05
101,1.11108e-05
102,9.98084e-06
103,1.04799e-05
104,1.04799e-05
105,1.04799e-05
106,1.04799e-05
107,9.93706e-06
108,9.93706e-06
109,1.05614e-05
110,1.05614e-05
111,9.65197e-06
112,1.00241e-05
113,1.02567e-05
114,1.13011e-05
115,1.13877e-05
116,1.13877e-05
117,1.13877e-05
118,1.06275e-05
119,9.79448e-06
120,9.91032e-06
121,9.91032e-06
122,9.91032e-06
123,1.0345e-05
124,1.02913e-05
125,9.93086e-06
126,1.0494e-05
127,1.0494e-05
128,1.0494e-05
129,1.00119e-05
130,1.01475e-05
131,1.07558e-05
132,1.072e-05
